image,distance_mm
img_000417.png,83.409180
img_000418.png,83.653509
img_000419.png,83.814418
img_000420.png,84.037395
img_000421.png,84.248429
img_000422.png,84.405056
img_000423.png,84.661246
img_000424.png,84.814861
img_000425.png,85.002664
img_000426.png,85.247013
img_000427.png,85.412029
img_000428.png,85.651504
img_000429.png,85.805611
img_000430.png,86.037465
img_000431.png,86.274352
img_000432.png,86.405822
img_000433.png,86.660088
img_000434.png,86.806062
img_000435.png,87.023833
img_000436.png,87.287901
img_000437.png,87.412823
img_000438.png,87.652114
img_000439.png,87.806889
img_000440.png,88.005021
img_000441.png,88.267903
img_000442.png,88.406380
img_000443.png,88.660954
img_000444.png,88.819432
img_000445.png,89.025997
img_000446.png,89.257897
img_000447.png,89.414514
img_000448.png,89.654218
img_000449.png,89.812140
img_000450.png,90.015297
img_000451.png,90.260843
img_000452.png,90.405614
img_000453.png,90.663724
img_000454.png,90.809166
img_000455.png,91.016480
img_000456.png,91.245343
img_000457.png,91.411259
img_000458.png,91.657638
img_000459.png,91.860309
img_000460.png,92.036996
img_000461.png,92.291069
img_000462.png,92.455694
img_000463.png,92.645059
img_000464.png,92.880213
img_000465.png,93.030279
img_000466.png,93.282979
img_000467.png,93.429668
img_000468.png,93.649445
img_000469.png,93.802584
img_000470.png,94.034860
img_000471.png,94.292611
img_000472.png,94.445970
img_000473.png,94.661218
img_000474.png,94.800033
img_000475.png,95.042633
img_000476.png,95.284518
img_000477.png,95.433165
img_000478.png,95.670019
img_000479.png,95.870229
img_000480.png,96.037174
img_000481.png,96.288569
img_000482.png,96.400787
img_000483.png,96.623250
img_000484.png,96.893369
img_000485.png,97.042590
img_000486.png,97.206643
img_000487.png,97.410583
img_000488.png,97.626432
img_000489.png,97.801858
img_000490.png,98.004013
img_000491.png,98.289119
img_000492.png,98.421311
img_000493.png,98.660197
img_000494.png,98.820943
img_000495.png,99.008735
img_000496.png,99.280301
img_000497.png,99.411025
img_000498.png,99.668981
img_000499.png,99.840942
img_000500.png,100.031627
img_000501.png,100.261946
img_000502.png,100.418415
img_000503.png,100.659425
img_000504.png,100.806848
img_000505.png,101.054314
img_000506.png,101.284893
img_000507.png,101.410410
img_000508.png,101.608296
img_000509.png,101.801391
img_000510.png,102.031601
img_000511.png,102.265954
img_000512.png,102.418740
img_000513.png,102.660035
img_000514.png,102.912669
img_000515.png,103.042173
img_000516.png,103.302853
img_000517.png,103.408243
img_000518.png,103.644427
img_000519.png,103.804211
img_000520.png,104.037698
img_000521.png,104.291762
img_000522.png,104.444211
img_000523.png,104.679188
img_000524.png,104.885569
img_000525.png,105.044567
img_000526.png,105.212940
img_000527.png,105.401377
img_000528.png,105.624012
img_000529.png,105.862727
img_000530.png,106.019644
img_000531.png,106.256303
img_000532.png,106.418265
img_000533.png,106.638019
img_000534.png,106.876466
img_000535.png,107.038927
img_000536.png,107.300996
img_000537.png,107.411545
img_000538.png,107.669718
img_000539.png,107.804301
img_000540.png,108.017681
img_000541.png,108.267356
img_000542.png,108.420673
img_000543.png,108.674597
img_000544.png,108.832678
img_000545.png,109.045967
img_000546.png,109.257656
img_000547.png,109.430152
img_000548.png,109.601559
img_000549.png,109.804210
img_000550.png,110.049935
img_000551.png,110.291590
img_000552.png,110.466589
img_000553.png,110.654950
img_000554.png,110.802933
img_000555.png,111.043143
img_000556.png,111.303415
img_000557.png,111.470010
img_000558.png,111.672745
img_000559.png,111.813500
img_000560.png,112.015404
img_000561.png,112.281501
img_000562.png,112.419230
img_000563.png,112.657253
img_000564.png,112.804569
img_000565.png,113.043894
img_000566.png,113.207419
img_000567.png,113.411847
img_000568.png,113.644468
img_000569.png,113.800727
img_000570.png,114.052778
img_000571.png,114.268351
img_000572.png,114.420617
img_000573.png,114.645622
img_000574.png,114.804872
img_000575.png,115.045136
img_000576.png,115.208747
img_000577.png,115.428091
img_000578.png,115.667028
img_000579.png,115.821601
img_000580.png,116.053752
img_000581.png,116.309021
img_000582.png,116.464431
img_000583.png,116.642534
img_000584.png,116.800581
img_000585.png,117.048208
img_000586.png,117.200116
img_000587.png,117.427279
img_000588.png,117.685198
img_000589.png,117.832248
img_000590.png,118.020608
img_000591.png,118.287776
img_000592.png,118.421354
img_000593.png,118.600560
img_000594.png,118.803270
img_000595.png,119.040307
img_000596.png,119.278546
img_000597.png,119.430339
img_000598.png,119.683568
img_000599.png,119.837965
img_000600.png,120.051909
img_000601.png,120.276159
img_000602.png,120.436092
img_000603.png,120.676661
img_000604.png,120.838879
img_000605.png,121.027799
img_000606.png,121.300578
img_000607.png,121.449793
img_000608.png,121.700097
img_000609.png,121.810725
img_000610.png,122.048795
